name,RA,DEC,Period,T1,incl,inclerror,q,qerror,t2t1,t2t1error,f,ferror,l3,l3error,r1,r2,L2/L1,R2
TIC 377296926,286.8154753,55.01279265,0.431434972,6501,75.76375243,0.276568787,0.165367065,0.002318234,0.997133738,0.003027349,0.684899565,0.027356781,0,0,0.566944469,0.270180441,0.216580732,0.998496446
TIC 17563811,243.8341211,35.7072952,0.36092298,6277.600097,84.35134511,0.623847463,0.103433229,0.000887754,1.038460579,0.001676598,0.48228874,0.022945772,0,0,0.591713863,0.224971026,0.159845857,0.998733716
TIC 434106760,354.5296069,-13.73308788,0.28069041,5353,83.03087581,0.247083245,3.518070499,0.015849473,0.950127902,0.00088214,0.114833673,0.002387712,0,0,0.283028743,0.498683997,2.538446949,0.997121778
TIC 436660156,72.91173344,13.38099741,0.414823969,5316.699707,74.73080263,1.068309293,0.223675858,0.020974829,0.995487978,0.003379953,0.42188433,0.026532783,0,0,0.533581528,0.281470228,0.267589437,0.993193781
TIC 22017780,195.8183722,36.61684592,0.384336416,5955.25,69.50653896,0.171310826,0.669437659,0.072321595,0.994499232,0.001585492,0.201783318,0.009574794,0,0,0.432249328,0.362254707,0.68514735,0.998232153
TIC 457172621,57.70570447,3.429259143,0.452234194,5763,60.95064837,0.278123703,0.516751654,0.04727165,0.999973924,0.002964152,0.400132665,0.026328184,0,0,0.468917441,0.355073802,0.565308374,0.996753495
TIC 343409837,310.014981,63.99292325,0.352511737,6101.333496,85.64193553,0.938707507,0.105366649,0.001006193,1.028062158,0.001900808,0.47039324,0.026032752,0,0,0.590072428,0.225829073,0.156798931,0.996971142
TIC 258776281,286.4916614,70.20770724,0.521831565,6485.60498,83.11016559,0.479071945,0.153259753,0.001473532,1.001983196,0.001864041,0.602700601,0.026200742,0,0,0.568718217,0.259789669,0.203238541,0.997687326
TIC 69838619,337.8142092,-20.5424261,0.383246857,6984.25,87.75146436,6.813986635,0.111131872,0.009750811,1.01422855,0.01652136,0.655804463,0.158474032,0,0,0.592253442,0.236950015,0.161569843,0.997843303
TIC 393943031,344.1080681,-36.01389545,0.449770587,6425,80.59759436,0.293273633,0.154359213,0.00096049,0.999308488,0.001424518,0.39926856,0.017244428,0,0,0.560243374,0.250818244,0.196543337,0.999556841
TIC 93053299,84.31962499,-23.66116787,0.411003802,5954.73291,76.17445404,0.513796805,0.120905204,0.001516277,1.028055945,0.001811571,0.627340486,0.042260875,0,0,0.585711692,0.242195514,0.181530645,0.996124952
TIC 627436,73.04731162,-25.1940849,0.57837334,7664.85498,84.52061457,0.575563143,0.250535733,0.00188888,0.994197901,0.001774605,0.544835852,0.023464679,0,0,0.531608559,0.298464802,0.302030218,0.995518827
TIC 157175641,175.700341,-35.816049,0.370141836,6138,81.01008608,0.137439805,3.566335443,0.014007972,0.953988571,0.000788108,0.205740572,0.008859886,0,0,0.28740864,0.504693327,2.647829409,0.998788121
TIC 348897766,106.0341078,-63.43075018,0.441897394,6238,78.97387583,0.120769492,0.211172001,0.000864414,1.02216513,0.000932369,0.332300311,0.009470044,0,0,0.533683918,0.271874889,0.273986037,0.999139648
TIC 124205037,196.990495,-31.013357,0.332728033,5481,80.17139048,0.179195455,4.622284541,0.023286007,0.894814292,0.000767959,0.315386736,0.010122018,0,0,0.272890982,0.531012338,2.460427077,0.990397194
TIC 241393039,24.38849128,-2.140212584,0.371384178,5807.5,87.1190946,4.665931801,2.328178284,0.26927483,0.959740064,0.00545679,0.122894551,0.013677672,0,0,0.31706293,0.463777773,1.856196481,0.997211572
TIC 47831368,221.579315,-35.696254,0.36593009,6224.75,65.35700565,0.748562987,0.398728838,0.059643037,0.972040491,0.004261045,0.342522164,0.053458953,0,0,0.484634244,0.326522694,0.408243639,0.995750225
TIC 229538448,221.7552849,74.68188303,0.300590996,5726.75,84.02557233,3.584311609,0.475503799,0.120838725,0.968435527,0.006114532,0.152588078,0.0271377,0,0,0.457120332,0.327900284,0.457116691,0.986219165
TIC 193819456,268.8644098,44.11522933,0.350113981,5938,74.94988474,0.690861395,0.146787982,0.001875008,0.993223553,0.001772692,0.477793429,0.029881532,0,0,0.566905158,0.250560889,0.187051843,0.991736352
TIC 389773940,151.3246009,87.01525132,0.274089184,5850,72.97241528,0.451577692,4.756656113,0.193445454,0.972919799,0.001944714,0.250090664,0.017027812,0,0,0.267157548,0.530239379,3.620713518,0.988280666
TIC 76305215,274.1283607,37.18414666,0.401567195,6469.5,87.73144798,0.793707887,0.270710218,0.001117428,0.983212791,0.001183658,0.118184735,0.008842277,0,0,0.503007342,0.279424728,0.290871707,0.997632765
TIC 372366518,331.9805286,36.68557245,0.558541459,5286.899902,86.47801908,0.601717283,0.245952962,0.001199016,1.020675714,0.001457364,0.247766851,0.01464809,0,0,0.517554253,0.279360286,0.312514242,0.995482217
TIC 417052182,304.2117384,41.96146001,0.313293695,5899.333496,94.78210219,3.263229311,0.120647571,0.002125853,0.984403737,0.002653551,0.492402639,0.036770692,0,0,0.581321354,0.236440137,0.152937313,0.994933318
TIC 29848012,23.56807566,-7.410552795,0.349010465,5535.637207,85.5096187,0.485522312,0.329966679,0.001535138,1.017414315,0.001173345,0.139003403,0.009197357,0,0,0.487338738,0.296404454,0.392585232,0.997258721
TIC 82224114,150.934449,28.23239376,0.375942544,6451.810058,72.10683903,0.268794965,2.920543898,0.137208296,0.952360673,0.000873417,0.242532103,0.010316537,0,0,0.306246027,0.490408346,2.206820248,0.999384203
TIC 75377304,7.089166626,-14.88799123,0.402317794,5870.5,75.74129429,0.102690917,0.161514532,0.000676257,1.025113442,0.001101468,0.449950651,0.004375569,0,0,0.558912862,0.256672609,0.225056823,0.985692803
TIC 312286761,313.3469238,48.51458581,0.509539128,5286.899902,76.95000671,0.21680731,0.274323506,0.004289792,1.013081109,0.001342642,0.415853945,0.013583502,0,0,0.517900592,0.298438779,0.340651454,0.996662297
TIC 140493525,21.20964837,-32.6899267,0.309102654,5339,90.30308392,0.217266178,0.294982133,0.001317914,0.958214447,0.000881242,0.275281577,0.00726836,0,0,0.504394819,0.295836623,0.288593091,0.979104067
TIC 150083410,117.0945803,-35.13070226,0.315810967,5415.716797,86.29591056,0.304068107,2.381120687,0.011459876,0.942596449,0.000809679,0.080308088,0.007374881,0,0,0.312152946,0.462916995,1.745885243,0.997937749
TIC 89428764,323.0389793,-34.71427191,0.376518034,6541.424804,76.02215524,0.152728839,0.139237292,0.000652017,0.990118739,0.001090365,0.288193886,0.013103279,0,0,0.563845746,0.238307004,0.17113049,0.9992176
TIC 331377569,310.7749192,22.48186414,0.454258533,6298.827636,71.85121569,1.491966645,0.16557091,0.029630041,0.995774059,0.003905003,0.664871684,0.053559335,0,0,0.566015692,0.269256678,0.214653296,0.999114874
TIC 455064763,77.21563839,2.821041755,0.295639085,5187.277343,92.53052077,0.119484395,0.369287839,0.001160549,1.006411159,0.000793907,0.182459873,0.000987488,0,0,0.480454902,0.308561347,0.420901201,0.985845672
TIC 139452314,169.062836,35.84087337,0.346889707,6057.666504,75.67137564,0.429291349,3.858330127,0.134998516,0.954322991,0.001770337,0.299965793,0.020743948,0.139103864,0.015476158,0.28662733,0.51605003,2.80280211,0.996002841
TIC 219494344,243.7751598,44.97269967,0.345383923,6363.5,64.04528506,0.228715086,3.130315916,0.171360545,0.963030475,0.002086922,0.319676068,0.018823336,0,0,0.305431539,0.500611799,2.401921714,0.995945427
TIC 140627676,70.69267379,72.97830005,0.498206542,7750.620117,75.75305816,0.348961843,3.093359622,0.117282396,0.957199034,0.001766456,0.527291774,0.015226258,0,0,0.320532962,0.512381778,2.336664314,0.997675342
TIC 72304931,92.67792139,-9.851141614,0.365834984,6720,72.44876427,0.724819879,0.175888279,0.014846221,1.02066815,0.002786245,0.400687774,0.028846087,0,0,0.55060468,0.26094997,0.235781675,0.994966213
TIC 41232835,91.980475,-66.360294,0.2393426,4934.049804,58.87890168,0.097978712,4.238157215,0.182016149,0.837855131,0.00252621,0.894138456,0.023265416,0,0,0.315681043,0.55468568,1.38994349,0.995748282
TIC 18433724,265.9725267,31.53009407,0.407484947,6990.666504,71.46479792,0.671925292,0.205399318,0.01859383,0.990848745,0.001531595,0.450453623,0.023509631,0,0,0.541292152,0.275984827,0.247512875,0.996910443
TIC 173795590,349.9605497,44.12595844,0.332953266,5400,73.4934427,0.15319707,5.94417624,0.046817118,0.945752263,0.00083802,0.309783511,0.01230823,0,0,0.253143202,0.550233784,3.86101458,0.995570901
TIC 404854539,84.997647,-68.478349,0.362212047,5707.666504,81.85203355,0.187928049,3.54712173,0.018604391,0.937603079,0.001191823,0.283704642,0.002188878,0,0,0.292590406,0.50849051,2.413695375,0.989744515
TIC 271495349,117.715639,3.650932696,0.551154896,6688,86.51087944,0.471556606,0.426489684,0.0021976,0.999336112,0.001004664,0.390233034,0.010355357,0,0,0.482739451,0.336235886,0.477001349,0.998486961
TIC 412063998,0.5069401,-66.88858502,0.326702151,5497.895019,80.35608837,0.190205064,4.223833506,0.026045674,0.925597351,0.001069437,0.149427719,0.007215864,0,0,0.270869794,0.515832205,2.698829833,0.994584519
TIC 237130278,277.8057295,52.78541249,0.412903656,7080,80.51126295,0.531900827,0.197588806,0.005149277,1.006349203,0.002129047,0.778361741,0.028587048,0.229674451,0.01439973,0.55956557,0.291081638,0.264939046,0.997532331
TIC 115105140,316.4957879,-36.25944042,0.410795009,6168,76.83661643,0.816304393,0.163917127,0.005417663,1.016563794,0.010710427,0.316440918,0.062580353,0,0,0.552488335,0.251507346,0.216087389,0.998168092
TIC 138256097,220.7723431,30.40986118,0.463641484,6547.720215,78.65717864,0.94851638,0.235865218,0.016695907,0.999359334,0.003101309,0.308693451,0.016435466,0,0,0.523927068,0.279451116,0.279295196,0.998738552
TIC 152362660,65.26182967,-26.49098728,0.395988977,6242.5,64.92514343,0.177754406,0.448821582,0.02689818,1.005207515,0.001110882,0.203247001,0.011415364,0,0,0.465531383,0.326705328,0.49725324,0.99590819
TIC 219738202,241.5723634,62.76280269,0.579116312,6904,79.64234298,0.164005813,0.27158954,0.001492516,1.012537352,0.000871585,0.510659403,0.010865556,0,0,0.523935168,0.303524788,0.341039139,0.998020311
TIC 383722507,279.7823428,41.94842991,0.533347003,7282,91.67283537,0.831175797,0.322221877,0.003894541,0.939014928,0.001791386,0.805562379,0.022550306,0,0,0.530637288,0.340859346,0.330792501,0.991936372
TIC 302125867,307.3192512,-29.93535621,0.389668017,6538,65.24265176,0.253751974,3.325889114,0.207703477,0.974262546,0.001333044,0.321189193,0.018252143,0,0,0.300345174,0.505481487,2.647310833,0.998968896
TIC 343553606,341.502813,57.780505,0.805441627,5286.899902,91.22230644,0.915793213,0.369783901,0.002510208,1.012476882,0.000956659,0.509035864,0.012236514,0,0,0.501544499,0.331836754,0.449948078,0.998751109
TIC 43864479,77.89214221,-10.57325827,0.594681319,6097.5,82.43331972,0.447394545,0.18003239,0.001526287,1.005360439,0.001376375,0.417224843,0.025260105,0,0,0.549572109,0.263604428,0.229469781,0.996791881
TIC 336208030,281.2776156,40.18651595,0.577975323,6548,75.39102286,0.195290726,0.298491714,0.00456908,1.006527408,0.000998171,0.513785886,0.007092965,0,0,0.517289698,0.312259912,0.362556975,0.998190333
TIC 23936839,276.0670947,35.24123663,0.275306208,5188.572754,63.22539645,0.824219843,4.540026846,0.939107891,0.938883116,0.004195143,0.282308023,0.059731014,0,0,0.272523328,0.528040439,2.92313327,0.996092076
TIC 142619515,171.0222346,77.8711371,0.269919672,5230.146484,78.26336997,0.253168946,4.953206927,0.045249161,0.920984999,0.001338068,0.104730915,0.005562321,0,0,0.256600349,0.527048547,2.993647815,0.996494593
TIC 159939533,240.3415219,48.49388676,0.282254785,5341.333496,101.5579479,0.795557935,2.943160912,0.020638586,0.921262967,0.000938775,0.056417282,0.001677021,0,0,0.293431345,0.48000859,1.91646649,0.955214778
TIC 308094680,168.1151632,-16.71982186,0.411901482,5780.5,77.79434963,0.319585539,0.152499778,0.001330632,0.979083235,0.001954802,0.292603137,0.021823491,0,0,0.557082366,0.245073495,0.178081802,0.994183841
TIC 301795154,322.2784646,-27.28566022,0.324411349,6053.333496,70.85222666,0.059966568,8.852492056,0.023955905,0.971238354,0.000688239,0.406980409,0.006269992,0,0,0.228309425,0.583210902,6.007135255,0.997861643
TIC 428534573,56.2552181,49.61663317,0.376749385,6119,60.63968868,0.121568396,3.257559613,0.077382231,0.942505285,0.001143822,0.316712641,0.005323414,0,0,0.301826944,0.503585047,2.304861247,0.999261709
TIC 143100813,256.8201895,17.42684214,0.387614927,6145.450195,68.72641934,0.88887563,0.341431606,0.034496522,0.996624054,0.002028856,0.190964534,0.01482542,0,0,0.487531804,0.302589344,0.378176618,0.999723055
TIC 229573710,240.4834972,20.4726487,0.226500074,4407.060058,81.29659363,0.520342157,0.516760023,0.034542497,0.983319798,0.001755501,0.022490622,0.001871384,0,0,0.440608372,0.325072612,0.500724407,0.995259367
TIC 242944454,58.6048753,12.06883916,0.404830293,5321.5,75.95872951,0.118719934,5.008231535,0.024814839,0.952488429,0.000795339,0.195161911,0.002528588,0,0,0.260382499,0.531913182,3.460746214,0.99742672
TIC 429973546,96.00321476,20.47025358,0.350542367,5937.333496,70.45892252,0.661244158,0.270042467,0.045235437,1.012129605,0.001202594,0.19851066,0.018662623,0,0,0.507408908,0.283957635,0.324081458,0.996166977
TIC 193728983,267.9250557,47.97519972,0.455229169,5496.569824,85.89590571,1.228208767,2.196863161,0.028459298,0.971540741,0.001026231,0.327822798,0.010704635,0.089116862,0.0055198,0.337419804,0.47322446,1.788395322,0.9945479
TIC 357372327,218.127245,50.82796838,0.42031148,6196.466797,75.1157619,0.184036304,1.75590669,0.256378794,0.970171481,0.003707296,0.208954734,0.007625556,0,0,0.348221634,0.446190821,1.491930701,0.997716922
TIC 421260279,217.1219054,-79.91637589,0.433000028,6031.844726,77.75307248,0.369501064,0.297724764,0.005930294,1.009086422,0.001260178,0.222850762,0.01185194,0.019882884,0.002069478,0.500705531,0.293330643,0.35095889,0.999204285
TIC 154664604,258.4909315,16.35017149,0.421333813,6243,103.3568534,0.465705426,2.810222181,0.013591479,0.872494497,0.000777843,0.456555208,0.004364026,0,0,0.324417166,0.50086838,1.519537816,0.963208035
TIC 270400213,263.7261181,44.19793259,0.251368469,4941.415039,77.11283537,1.810389347,0.368777974,0.140693201,0.994501692,0.004852956,0.116866537,0.021844402,0,0,0.476507449,0.304001652,0.397305892,0.988428042
TIC 76873464,87.55469081,26.96204504,0.344962997,5797.5,66.21341078,0.114367577,2.225829742,0.095329383,0.966645134,0.00097175,0.159537818,0.006700818,0,0,0.323547298,0.462422434,1.818903428,0.991568116
TIC 423833748,62.65624805,-38.92805201,0.427051757,6553.299804,63.30503957,0.251079005,0.375304182,0.022107477,0.96939737,0.001584216,0.328690397,0.01873516,0,0,0.488466628,0.320117917,0.383959085,0.998751756
TIC 115046240,72.98398721,-16.49657619,0.345891049,5793,62.66519125,0.40751105,0.490254787,0.075794095,0.985079244,0.002018095,0.084092962,0.007339966,0,0,0.449643635,0.325332831,0.49729241,0.993272931
TIC 198313291,233.6883923,62.27898056,0.306770625,5850,79.8997891,0.114659814,4.083293132,0.017017316,0.926755627,0.000761146,0.117819535,0.007373586,0,0,0.271698843,0.511461994,2.705882469,0.99740848
TIC 177258700,102.249551,-73.364012,0.687817396,7146,82.14806852,1.315627019,0.257576095,0.018693556,0.990524167,0.001817751,0.536782071,0.017304472,0,0,0.529194118,0.300436684,0.304086791,0.99895852
TIC 101645013,259.5178966,41.84407054,0.471628922,6751.705078,65.73016209,0.263914002,0.329311488,0.022323128,1.016892485,0.001714072,0.378170272,0.021563991,0,0,0.501769534,0.311972421,0.399965718,0.997434413
TIC 76094083,86.20792293,27.50677392,0.389059906,5725,78.36895481,0.664000255,0.31568505,0.008169414,1.003061062,0.001457505,0.377061931,0.018293097,0.181700401,0.016333502,0.504955457,0.308180578,0.370403227,0.997305538
